,movie_ids
532,0112642
533,0451094
534,0088727
535,0370263
536,4324274
537,1605782
538,1155592
539,0060095
540,0089686
541,1217616
542,1488555
543,0061385
544,0117002
545,0119365
546,2392672
547,0089126
548,0049934
549,0089822
550,0195234
551,0110366
552,0188504
553,4501244
554,0216621
555,0138749
556,0120620
557,0062229
558,1683526
559,0090799
560,0119008
561,0245280
562,2204315
563,0113755
564,0117169
565,0071249
566,0056048
567,0114938
568,0100594
569,1172991
570,0087065
571,0145487
572,0066498
573,0116606
574,3177316
575,0050306
576,1527186
577,0375912
578,0073043
579,2105044
580,0119872
581,0105265
582,1540133
583,0204626
584,0109688
585,0489270
586,0102395
587,2465238
588,0879870
589,1204342
590,1189340
591,0099699
592,0064265
593,3823690
594,0907657
595,0124198
596,0216126
597,0270259
598,0486822
599,0118735
600,0175142
601,0313487
602,0163187
603,0318411
604,0361462
605,0120841
606,0381061
607,0853096
608,0116059
609,0039402
610,4209802
611,0075468
612,1320261
613,0762125
614,0065462
615,1622547
616,0324554
617,0355295
618,0119574
619,0093191
620,3837248
621,0060550
622,0367479
623,1446714
624,1160368
625,0116592
626,1226229
627,0425661
628,0089560
629,1259772
630,0114039
631,1369845
632,0073012
633,0100129
634,0061578
635,3043546
636,0106877
637,1268799
638,0065207
639,0096256
640,1999192
641,0104779
642,0082340
643,0120131
644,2179136
645,0106544
646,1605630
647,0139699
648,2679042
649,0815244
650,0100053
651,0248190
652,0079638
653,1057500
654,0082511
655,0109424
656,0437857
657,0099253
658,0061584
659,0190524
660,0096244
661,1571222
662,0117509
663,0491703
664,0113552
665,0450385
666,0081063
667,0090570
668,0327437
669,3106868
670,0275719
671,1798684
672,1637688
673,1220719
674,3577624
675,0243133
676,3521126
677,3659388
678,0102803
679,0120725
680,0041699
681,0088161
682,0040919
683,0286947
684,0149151
685,0118615
686,0116583
687,0094594
688,0200550
689,1602472
690,0097613
691,1075417
692,0045125
693,0085255
694,0281373
695,0093405
696,0096764
697,0044030
698,0074452
699,0061811
700,0120257
701,0165348
702,0120481
703,0271259
704,1783732
705,0090329
706,0067093
707,0177858
708,0040202
709,0056406
710,0077402
711,0032410
712,0095599
713,0238924
714,0082175
715,0027125
716,0361715
717,0112854
718,0317132
719,0373283
720,0436971
721,3450650
722,0111742
723,1029235
724,4540710
725,0101458
726,0902290
727,0094921
728,0061418
729,1219289
730,0078252
731,0109836
732,0119123
733,0102103
734,0091949
735,0361309
736,0076240
737,1596345
738,0452039
739,0039631
740,0790712
741,1705773
742,0061391
743,0157503
744,0076759
745,0265713
746,0041841
747,0081562
748,0236019
749,0079579
750,0339419
751,1119646
752,0417791
753,1690953
754,0963966
755,0094612
756,0991178
757,0468489
758,0084695
759,0117894
760,0251075
761,0120703
762,0054698
763,0093093
764,0308878
765,0070460
766,0340477
767,2884018
768,0100029
769,0063821
770,0120036
771,1020773
772,0161081
773,0071994
774,0045012
775,0025586
776,0102558
777,0844330
778,1741273
779,2103217
780,4084744
781,0114798
782,0265029
783,0373074
784,0028988
785,0110989
786,0048473
787,0094137
788,0099700
789,0052077
790,1242460
791,0372237
792,0415679
793,0087262
794,1254947
